question,gold,prediction,correct,n_nodes,valid_graph
Were Scott Derrickson and Ed Wood of the same nationality?,yes,Scott Derrickson is American and Ed Wood was also American. Both individuals shared the same nationality.,False,3,True
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"Shirley Temple Black held several government positions, including United States Ambassador to Ghana and United States Ambassador to Czechoslovakia. She also served as Chief of Protocol of the United States.",False,4,True
"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The established information indicates ""Broken Throne"" expands on the stories of various characters and events within the ""Red Queen"" series, which is a high fantasy setting primarily focused on human society and magic. It does not mention enslaved worlds or alien species, as these elements are not central to the ""Red Queen"" universe. Therefore, the companion books do not specifically delve into the histories and experiences of enslaved worlds and various alien species.",False,4,True
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,"The Laleli Mosque is in the Laleli neighborhood, while the Esma Sultan Mansion is in the Ortaköy neighborhood. Therefore, they are not located in the same neighborhood.",False,3,True
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Adriana Trigiani is primarily based in New York City.,False,2,True
2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment was founded by Yang Hyun-suk. The founder of YG Entertainment is Yang Hyun-suk.,False,3,True
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,"The original question describes the person as someone who ""helped organizations improve their performance as a consultant."" Therefore, the premise that Aladin the consultant helped organizations improve performance is asserted within the question itself as a characteristic of the person being sought.",False,4,True
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","The Androscoggin Bank Colisée has a seating capacity of 3,677 for hockey games.",False,2,True
"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,"Terry Richardson was born on August 14, 1965, while Annie Morton was born on November 13, 1968. Since Terry Richardson's birth year (1965) is earlier than Annie Morton's (1968), Terry Richardson is older.",False,3,True
Are Local H and For Against both from the United States?,yes,"Local H is from the United States, as confirmed by its origin in Zion, Illinois. For Against is also from the United States, being an American band formed in Lincoln, Nebraska. Therefore, both countries of origin are the United States.",False,3,True
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,"The fight song of the University of Kansas is ""I'm a Jayhawk.""",False,3,True
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,"The screenwriters present in both Node 1's list (""Evolution"") and Node 3's list (""The Family Man"") are David Weissman and David Diamond. These two screenwriters co-wrote both films.",False,4,True
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,"The movie ""End of Days"" was released in 1999. Therefore, the release year of the movie ""End of Days"" is 1999.",False,5,True
Are Random House Tower and 888 7th Avenue both used for real estate?,no,"Yes, an ""office building"" falls under the umbrella of ""used for real estate"" because real estate encompasses the buying, selling, leasing, or renting of properties, including commercial office spaces. Therefore, a building primarily used for commercial office space is indeed used for real estate purposes.",False,4,True
The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,"Sir Alex Ferguson managed Manchester United from November 6, 1986, to May 19, 2013. The timeframe he managed the club was 1986-2013.",False,2,True
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","The current population of Brown County, Kansas is 11,885 inhabitants as of 2020.",False,3,True
